# Matter power spectrum P(k) at redshift z=3.5
# for k=1.10283e-05 to 8.76902 h/Mpc,
# number of wavenumbers equal to 121
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.102829840628e-05       3.087879736471e+00 
       1.388380511251e-05       3.857713151690e+00 
       1.747867506854e-05       4.819469374303e+00 
       2.200434820828e-05       6.020992749687e+00 
       2.770183312937e-05       7.522051911072e+00 
       3.487454167984e-05       9.397309128468e+00 
       4.390444674543e-05       1.174002577436e+01 
       5.527242369858e-05       1.466668560955e+01 
       6.958385876560e-05       1.832275526580e+01 
       8.760088805071e-05       2.288985463793e+01 
       1.102829840628e-04       2.859465927523e+01 
       1.388380511251e-04       3.571991526701e+01 
       1.747867506854e-04       4.461750519836e+01 
       2.200434820828e-04       5.572662202569e+01 
       2.770183312937e-04       6.959137114565e+01 
       3.487454167984e-04       8.688534761416e+01 
       4.390444674543e-04       1.084374749317e+02 
       5.527242369858e-04       1.352594303178e+02 
       6.958385876560e-04       1.685708325555e+02 
       8.760088805071e-04       2.098161918020e+02 
       1.102829840628e-03       2.606655202275e+02 
       1.388380511251e-03       3.229903688424e+02 
       1.747867506854e-03       3.987930469882e+02 
       2.200434820828e-03       4.901165309000e+02 
       2.770183312937e-03       5.987675819340e+02 
       3.487454167984e-03       7.259055216827e+02 
       4.390444674543e-03       8.714837322808e+02 
       5.527242369858e-03       1.033454408879e+03 
       6.958385876560e-03       1.206777506323e+03 
       8.760088805071e-03       1.382235471480e+03 
       1.102829840628e-02       1.545200578826e+03 
       1.388380511251e-02       1.674660631143e+03 
       1.747867506847e-02       1.743948485451e+03 
       2.200434788654e-02       1.725364625931e+03 
       2.770162349621e-02       1.603058851763e+03 
       3.484897781650e-02       1.394719403357e+03 
       4.314637565566e-02       1.176973367785e+03 
       4.992323753128e-02       1.048650179317e+03 
       5.488181137661e-02       9.806612670427e+02 
       5.900598555658e-02       9.355682492056e+02 
       6.270499765881e-02       9.001601363580e+02 
       6.616406905423e-02       8.686919790835e+02 
       6.948238878958e-02       8.382047338675e+02 
       7.271993169837e-02       8.070902846740e+02 
       7.591634260514e-02       7.745551334629e+02 
       7.909970221490e-02       7.403772164426e+02 
       8.229104782735e-02       7.047668453931e+02 
       8.550689990106e-02       6.682618804351e+02 
       8.876076600145e-02       6.316288461543e+02 
       9.206408246927e-02       5.957577119614e+02 
       9.542682886117e-02       5.615576066216e+02 
       9.885794274070e-02       5.298527456171e+02 
       1.023656076750e-01       5.012915883958e+02 
       1.059574578699e-01       4.762731022403e+02 
       1.096407263112e-01       4.548956580949e+02 
       1.134223535847e-01       4.369375053227e+02 
       1.173090686735e-01       4.218584420470e+02 
       1.213074493784e-01       4.088392427493e+02 
       1.254239676765e-01       3.968571462320e+02 
       1.296650238160e-01       3.848135877460e+02 
       1.340369719524e-01       3.717081700093e+02 
       1.385461394647e-01       3.568366230785e+02 
       1.431988416512e-01       3.399600307054e+02 
       1.480013932119e-01       3.213881138926e+02 
       1.529601177286e-01       3.019280835113e+02 
       1.580813562326e-01       2.827003490147e+02 
       1.633714758689e-01       2.648723883805e+02 
       1.688368796147e-01       2.493569697142e+02 
       1.744840179824e-01       2.365743431525e+02 
       1.803194036148e-01       2.263477182897e+02 
       1.863496296665e-01       2.179295811441e+02 
       1.925813928611e-01       2.102435820648e+02 
       1.990215221041e-01       2.021253738462e+02 
       2.056770135385e-01       1.927058721402e+02 
       2.125550729465e-01       1.818878257104e+02 
       2.196631664316e-01       1.703668114128e+02 
       2.270090803838e-01       1.592246499226e+02 
       2.346009918309e-01       1.493893630692e+02 
       2.424475504407e-01       1.412966239623e+02 
       2.505579736664e-01       1.347650473978e+02 
       2.589421568557e-01       1.290090205036e+02 
       2.676108005851e-01       1.230913514235e+02 
       2.765755580830e-01       1.165014258686e+02 
       2.858492063992e-01       1.093852440718e+02 
       2.954458460372e-01       1.024139566685e+02 
       3.053811351574e-01       9.629678514525e+01 
       3.156725663114e-01       9.119030753246e+01 
       3.263397961304e-01       8.667921800753e+01 
       3.374050417010e-01       8.218147357943e+01 
       3.488935618561e-01       7.740359404186e+01 
       3.608342477807e-01       7.260521315491e+01 
       3.732603559267e-01       6.820458601521e+01 
       3.862104283659e-01       6.435642312790e+01 
       3.997294631352e-01       6.078675782752e+01 
       4.138704225582e-01       5.720203327312e+01 
       4.286962053661e-01       5.362245169958e+01 
       4.442822658737e-01       5.027397614183e+01 
       4.607201526334e-01       4.720233315430e+01 
       4.781223808490e-01       4.425833023939e+01 
       4.966292847976e-01       4.134418116054e+01 
       5.164188875472e-01       3.855711229654e+01 
       5.377215074325e-01       3.593121047451e+01 
       5.608420577084e-01       3.335692142603e+01 
       5.861953391515e-01       3.085056364901e+01 
       6.143642914910e-01       2.842224966709e+01 
       6.462010016320e-01       2.601621462894e+01 
       6.830123454141e-01       2.363124496497e+01 
       7.269252677543e-01       2.121956005576e+01 
       7.816633580450e-01       1.874132752133e+01 
       8.543291965183e-01       1.612632602216e+01 
       9.596030241315e-01       1.329580182630e+01 
       1.127086033709e+00       1.025190398582e+01 
       1.391558229904e+00       7.391275296972e+00 
       1.749679324236e+00       5.268231647068e+00 
       2.202679104855e+00       3.802767987835e+00 
       2.773008581284e+00       2.769335428418e+00 
       3.491010970050e+00       2.020267866734e+00 
       4.394922423049e+00       1.465237412169e+00 
       5.532879521240e+00       1.049017270266e+00 
       6.965482629685e+00       7.370256565547e-01 
       8.769023087921e+00       5.061338256904e-01 
