# Matter power spectrum P(k) at redshift z=4
# for k=1.10283e-05 to 8.76902 h/Mpc,
# number of wavenumbers equal to 121
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.102829840628e-05       2.504736355844e+00 
       1.388380511251e-05       3.129187500822e+00 
       1.747867506854e-05       3.909317105049e+00 
       2.200434820828e-05       4.883934274957e+00 
       2.770183312937e-05       6.101520620542e+00 
       3.487454167984e-05       7.622638963001e+00 
       4.390444674543e-05       9.522939259602e+00 
       5.527242369858e-05       1.189690917637e+01 
       6.958385876560e-05       1.486254767558e+01 
       8.760088805071e-05       1.856718291892e+01 
       1.102829840628e-04       2.319469680029e+01 
       1.388380511251e-04       2.897446630034e+01 
       1.747867506854e-04       3.619236700133e+01 
       2.200434820828e-04       4.520419397555e+01 
       2.770183312937e-04       5.645179520246e+01 
       3.487454167984e-04       7.048201062107e+01 
       4.390444674543e-04       8.796803847248e+01 
       5.527242369858e-04       1.097319235426e+02 
       6.958385876560e-04       1.367652884078e+02 
       8.760088805071e-04       1.702432541969e+02 
       1.102829840628e-03       2.115244661265e+02 
       1.388380511251e-03       2.621298471646e+02 
       1.747867506854e-03       3.236827694517e+02 
       2.200434820828e-03       3.978379548757e+02 
       2.770183312937e-03       4.860652918806e+02 
       3.487454167984e-03       5.893126956591e+02 
       4.390444674543e-03       7.075461425318e+02 
       5.527242369858e-03       8.391115887748e+02 
       6.958385876560e-03       9.799249816906e+02 
       8.760088805071e-03       1.122509081109e+03 
       1.102829840628e-02       1.254988263980e+03 
       1.388380511251e-02       1.360276844037e+03 
       1.747867506847e-02       1.416676549270e+03 
       2.200434788654e-02       1.401606700259e+03 
       2.770162349621e-02       1.302099466893e+03 
       3.484897781650e-02       1.132463548279e+03 
       4.314637565566e-02       9.549726498323e+02 
       4.992323753128e-02       8.501447148806e+02 
       5.488181137661e-02       7.944301598939e+02 
       5.900598555658e-02       7.573617502282e+02 
       6.270499765881e-02       7.281864390636e+02 
       6.616406905423e-02       7.022326085785e+02 
       6.948238878958e-02       6.770987212845e+02 
       7.271993169837e-02       6.514834359433e+02 
       7.591634260514e-02       6.247475751330e+02 
       7.909970221490e-02       5.967148356764e+02 
       8.229104782735e-02       5.675574950256e+02 
       8.550689990106e-02       5.377106096370e+02 
       8.876076600145e-02       5.077915263689e+02 
       9.206408246927e-02       4.785149703921e+02 
       9.542682886117e-02       4.506092778251e+02 
       9.885794274070e-02       4.247330894880e+02 
       1.023656076750e-01       4.014026144563e+02 
       1.059574578699e-01       3.809328726705e+02 
       1.096407263112e-01       3.633969685828e+02 
       1.134223535847e-01       3.486110982595e+02 
       1.173090686735e-01       3.361367530643e+02 
       1.213074493784e-01       3.253140556117e+02 
       1.254239676765e-01       3.153237666034e+02 
       1.296650238160e-01       3.052910363883e+02 
       1.340369719524e-01       2.944244950459e+02 
       1.385461394647e-01       2.821724140668e+02 
       1.431988416512e-01       2.683540767627e+02 
       1.480013932119e-01       2.532219988907e+02 
       1.529601177286e-01       2.374187074473e+02 
       1.580813562326e-01       2.218300148194e+02 
       1.633714758689e-01       2.073754192305e+02 
       1.688368796147e-01       1.947707980232e+02 
       1.744840179824e-01       1.843414640476e+02 
       1.803194036148e-01       1.759408345274e+02 
       1.863496296665e-01       1.689746316431e+02 
       1.925813928611e-01       1.625948175031e+02 
       1.990215221041e-01       1.558921670866e+02 
       2.056770135385e-01       1.481952459394e+02 
       2.125550729465e-01       1.394360689393e+02 
       2.196631664316e-01       1.301596263639e+02 
       2.270090803838e-01       1.212056264551e+02 
       2.346009918309e-01       1.132907463965e+02 
       2.424475504407e-01       1.067476087538e+02 
       2.505579736664e-01       1.014299678122e+02 
       2.589421568557e-01       9.672702022650e+01 
       2.676108005851e-01       9.191736560587e+01 
       2.765755580830e-01       8.661274151573e+01 
       2.858492063992e-01       8.092837188395e+01 
       2.954458460372e-01       7.537771874988e+01 
       3.053811351574e-01       7.049982222019e+01 
       3.156725663114e-01       6.641027075029e+01 
       3.263397961304e-01       6.278987252581e+01 
       3.374050417010e-01       5.919625668973e+01 
       3.488935618561e-01       5.540877413908e+01 
       3.608342477807e-01       5.162415719818e+01 
       3.732603559267e-01       4.815644267088e+01 
       3.862104283659e-01       4.511976748630e+01 
       3.997294631352e-01       4.230679298026e+01 
       4.138704225582e-01       3.949752438402e+01 
       4.286962053661e-01       3.670723031426e+01 
       4.442822658737e-01       3.410357328735e+01 
       4.607201526334e-01       3.171934818592e+01 
       4.781223808490e-01       2.944310661496e+01 
       4.966292847976e-01       2.720238002319e+01 
       5.164188875472e-01       2.506859625312e+01 
       5.377215074325e-01       2.306632932579e+01 
       5.608420577084e-01       2.111499586649e+01 
       5.861953391515e-01       1.922669687036e+01 
       6.143642914910e-01       1.740908719855e+01 
       6.462010016320e-01       1.562236994524e+01 
       6.830123454141e-01       1.386718112149e+01 
       7.269252677543e-01       1.211173223498e+01 
       7.816633580450e-01       1.033251626566e+01 
       8.543291965183e-01       8.489276278138e+00 
       9.596030241315e-01       6.546493076423e+00 
       1.127086033709e+00       4.544312832924e+00 
       1.391558229904e+00       2.792320111527e+00 
       1.749679324236e+00       1.628503775476e+00 
       2.202679104855e+00       9.379587976285e-01 
       2.773008581284e+00       5.355460751909e-01 
       3.491010970050e+00       3.033922508988e-01 
       4.394922423049e+00       1.706564304624e-01 
       5.532879521240e+00       9.537568838899e-02 
       6.965482629685e+00       5.298940087053e-02 
       8.769023087921e+00       2.928177020577e-02 
